model,f1_macro,f1_macro_std,accuracy,balanced_accuracy,fit_time_s
Random Forest + SMOTE,0.7174799865313468,0.046901503234307376,0.7529411764705883,0.7516601916601916,0.4172419865926107
Random Forest,0.7026387007675747,0.0468890543816856,0.7274509803921566,0.7513817663817665,0.38217175801595055
Extra Trees,0.6859612607845051,0.09134134239392101,0.7705882352941177,0.6932556332556333,0.3327832063039144
Decision Tree,0.6357245894377591,0.06023621122512278,0.6313725490196078,0.65989380989381,0.0051784515380859375
SVM (RBF),0.6204306969492952,0.07609375607814806,0.6098039215686274,0.6295855995855996,0.010890452067057292
Logistic Regression,0.6193203122753982,0.05612126907810264,0.5627450980392157,0.6757485107485107,0.013646793365478516
Gradient Boosting,0.5729629983543026,0.08729663763264872,0.7235294117647059,0.5942113442113441,0.45345457394917804
KNN,0.5524881363045613,0.10320004439871405,0.6588235294117648,0.5683527583527584,0.004143667221069336
Dummy (most frequent),0.08800493370336107,0.0020968239284613055,0.35882352941176465,0.16666666666666663,0.0036210060119628907
