feature,importance,std
Mg,0.28030656013659855,0.06027582518239528
RI,0.15840177117321877,0.037008394518425275
Ba,0.13813492960712095,0.0407817105830262
Na,0.05571415564710581,0.03739766451465641
Ca,0.04801417462911712,0.031537435689000505
Si,0.017491585592067555,0.030093316947245225
Al,0.011343185522644132,0.022471030501876533
K,0.011202107591799822,0.04324085077133551
Fe,-0.0010213831152528607,0.005226564704502692
